NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
1,1g,10mb,10m,1k,1,200k,0.100,9838.497
1,1g,10mb,10m,1k,1,9m,0.098,10062.611
1,1g,10mb,10m,1k,100,200k,9.917,10067.759
1,1g,10mb,10m,1k,100,9m,9.821,10128.022
1,1g,10mb,10m,150k,1,200k,14.623,68.278
1,1g,10mb,10m,150k,1,9m,14.649,68.145
1,1g,10mb,10m,150k,100,200k,247.399,69.828
1,1g,10mb,10m,150k,100,9m,405.495,69.828
1,1g,10mb,1g,1k,1,200k,0.107,9265.267
1,1g,10mb,1g,1k,1,9m,0.105,9361.510
1,1g,10mb,1g,1k,100,200k,10.690,9348.978
1,1g,10mb,1g,1k,100,9m,10.421,9553.688
1,1g,10mb,1g,150k,1,200k,14.643,68.178
1,1g,10mb,1g,150k,1,9m,14.624,68.278
1,1g,10mb,1g,150k,100,200k,200.608,69.912
1,1g,10mb,1g,150k,100,9m,694.955,69.428
1,1g,500mb,10m,1k,1,200k,0.027,35089.424
1,1g,500mb,10m,1k,1,9m,0.027,35681.771
1,1g,500mb,10m,1k,100,200k,2.846,35095.288
1,1g,500mb,10m,1k,100,9m,2.934,33904.842
1,1g,500mb,10m,150k,1,200k,0.618,1614.185
1,1g,500mb,10m,150k,1,9m,0.602,1657.126
1,1g,500mb,10m,150k,100,200k,55.461,1594.116
1,1g,500mb,10m,150k,100,9m,54.074,1620.949
1,1g,500mb,1g,1k,1,200k,0.043,22480.552
1,1g,500mb,1g,1k,1,9m,0.043,22596.745
1,1g,500mb,1g,1k,100,200k,4.553,21944.508
1,1g,500mb,1g,1k,100,9m,4.540,21583.536
1,1g,500mb,1g,150k,1,200k,1.067,935.282
1,1g,500mb,1g,150k,1,9m,1.031,968.053
1,1g,500mb,1g,150k,100,200k,93.739,946.720
1,1g,500mb,1g,150k,100,9m,78.770,935.752
1,8g,10mb,10m,1k,1,200k,0.102,9704.019
1,8g,10mb,10m,1k,1,9m,0.098,10054.096
1,8g,10mb,10m,1k,100,200k,9.968,10016.288
1,8g,10mb,10m,1k,100,9m,9.762,10194.190
1,8g,10mb,10m,150k,1,200k,14.629,68.245
1,8g,10mb,10m,150k,1,9m,14.655,68.162
1,8g,10mb,10m,150k,100,200k,388.047,69.912
1,8g,10mb,10m,150k,100,9m,875.567,69.662
1,8g,10mb,1g,1k,1,200k,0.113,8728.472
1,8g,10mb,1g,1k,1,9m,0.105,9431.645
1,8g,10mb,1g,1k,100,200k,10.485,9314.850
1,8g,10mb,1g,1k,100,9m,10.578,9408.276
1,8g,10mb,1g,150k,1,200k,14.709,67.945
1,8g,10mb,1g,150k,1,9m,14.624,68.278
1,8g,10mb,1g,150k,100,200k,160.413,69.928
1,8g,10mb,1g,150k,100,9m,421.803,69.828
1,8g,500mb,10m,1k,1,200k,0.027,35036.369
1,8g,500mb,10m,1k,1,9m,0.027,35576.463
1,8g,500mb,10m,1k,100,200k,2.924,34118.022
1,8g,500mb,10m,1k,100,9m,2.838,34686.361
1,8g,500mb,10m,150k,1,200k,0.620,1609.815
1,8g,500mb,10m,150k,1,9m,0.602,1657.552
1,8g,500mb,10m,150k,100,200k,50.363,1622.037
1,8g,500mb,10m,150k,100,9m,51.002,1592.329
1,8g,500mb,1g,1k,1,200k,0.044,22252.435
1,8g,500mb,1g,1k,1,9m,0.043,22542.560
1,8g,500mb,1g,1k,100,200k,4.646,21505.920
1,8g,500mb,1g,1k,100,9m,4.418,22224.159
1,8g,500mb,1g,150k,1,200k,1.048,952.986
1,8g,500mb,1g,150k,1,9m,1.043,956.986
1,8g,500mb,1g,150k,100,200k,87.733,905.672
1,8g,500mb,1g,150k,100,9m,82.690,941.150
4,1g,10mb,10m,1k,1,200k,0.101,9787.792
4,1g,10mb,10m,1k,1,9m,0.098,10050.139
4,1g,10mb,10m,1k,100,200k,9.902,10082.445
4,1g,10mb,10m,1k,100,9m,9.807,10157.513
4,1g,10mb,10m,150k,1,200k,14.623,68.278
4,1g,10mb,10m,150k,1,9m,14.644,68.178
4,1g,10mb,10m,150k,100,200k,903.369,69.878
4,1g,10mb,10m,150k,100,9m,124.830,69.828
4,1g,10mb,1g,1k,1,200k,0.110,9025.440
4,1g,10mb,1g,1k,1,9m,0.108,9111.459
4,1g,10mb,1g,1k,100,200k,11.550,8652.558
4,1g,10mb,1g,1k,100,9m,10.817,9216.857
4,1g,10mb,1g,150k,1,200k,14.644,68.178
4,1g,10mb,1g,150k,1,9m,14.747,67.728
4,1g,10mb,1g,150k,100,200k,254.430,69.828
4,1g,10mb,1g,150k,100,9m,322.824,69.828
4,1g,500mb,10m,1k,1,200k,0.027,35017.320
4,1g,500mb,10m,1k,1,9m,0.027,35566.629
4,1g,500mb,10m,1k,100,200k,2.954,33816.050
4,1g,500mb,10m,1k,100,9m,2.954,33729.675
4,1g,500mb,10m,150k,1,200k,0.618,1613.779
4,1g,500mb,10m,150k,1,9m,0.601,1658.095
4,1g,500mb,10m,150k,100,200k,50.356,1592.772
4,1g,500mb,10m,150k,100,9m,47.760,1622.897
4,1g,500mb,1g,1k,1,200k,0.043,22698.130
4,1g,500mb,1g,1k,1,9m,0.043,22775.727
4,1g,500mb,1g,1k,100,200k,4.497,22218.868
4,1g,500mb,1g,1k,100,9m,4.527,22019.987
4,1g,500mb,1g,150k,1,200k,1.073,930.334
4,1g,500mb,1g,150k,1,9m,1.013,985.746
4,1g,500mb,1g,150k,100,200k,82.386,933.837
4,1g,500mb,1g,150k,100,9m,91.087,973.636
4,8g,10mb,10m,1k,1,200k,0.101,9725.003
4,8g,10mb,10m,1k,1,9m,0.099,10010.292
4,8g,10mb,10m,1k,100,200k,9.918,10066.905
4,8g,10mb,10m,1k,100,9m,9.758,10209.698
4,8g,10mb,10m,150k,1,200k,14.910,67.028
4,8g,10mb,10m,150k,1,9m,14.643,68.178
4,8g,10mb,10m,150k,100,200k,897.144,69.928
4,8g,10mb,10m,150k,100,9m,1150.096,69.929
4,8g,10mb,1g,1k,1,200k,0.119,8313.519
4,8g,10mb,1g,1k,1,9m,0.107,9241.293
4,8g,10mb,1g,1k,100,200k,10.365,9636.258
4,8g,10mb,1g,1k,100,9m,11.324,8801.093
4,8g,10mb,1g,150k,1,200k,14.623,68.278
4,8g,10mb,1g,150k,1,9m,14.624,68.278
4,8g,10mb,1g,150k,100,200k,531.964,69.462
4,8g,10mb,1g,150k,100,9m,840.073,69.195
4,8g,500mb,10m,1k,1,200k,0.027,34941.503
4,8g,500mb,10m,1k,1,9m,0.027,35775.121
4,8g,500mb,10m,1k,100,200k,2.965,33696.408
4,8g,500mb,10m,1k,100,9m,2.912,34227.021
4,8g,500mb,10m,150k,1,200k,0.618,1612.862
4,8g,500mb,10m,150k,1,9m,0.615,1620.306
4,8g,500mb,10m,150k,100,200k,47.878,1592.576
4,8g,500mb,10m,150k,100,9m,54.675,1582.091
4,8g,500mb,1g,1k,1,200k,0.043,22405.596
4,8g,500mb,1g,1k,1,9m,0.040,23966.843
4,8g,500mb,1g,1k,100,200k,4.426,22577.893
4,8g,500mb,1g,1k,100,9m,4.380,22760.086
4,8g,500mb,1g,150k,1,200k,1.062,940.489
4,8g,500mb,1g,150k,1,9m,0.996,1002.679
4,8g,500mb,1g,150k,100,200k,77.732,991.334
4,8g,500mb,1g,150k,100,9m,87.628,978.700
1,1g,255mb,10m,76k,51,200k,16.459,3078.534
1,1g,255mb,10m,76k,51,9m,16.330,3001.413
1,1g,255mb,1g,76k,51,200k,25.260,1948.216
1,1g,255mb,1g,76k,51,9m,24.667,1997.158
1,8g,255mb,10m,76k,51,200k,16.042,2857.499
1,8g,255mb,10m,76k,51,9m,16.439,3003.350
1,8g,255mb,1g,76k,51,200k,27.341,1695.985
1,8g,255mb,1g,76k,51,9m,25.687,1762.071
4,1g,255mb,10m,76k,51,200k,17.024,2869.000
4,1g,255mb,10m,76k,51,9m,16.188,2943.677
4,1g,255mb,1g,76k,51,200k,31.990,1515.936
4,1g,255mb,1g,76k,51,9m,28.019,1619.291
4,8g,255mb,10m,76k,51,200k,26.756,1804.655
4,8g,255mb,10m,76k,51,9m,40.736,1121.943
4,8g,255mb,1g,76k,51,200k,49.869,949.765
4,8g,255mb,1g,76k,51,9m,41.642,1160.353
1,1g,133mb,10m,39k,26,200k,7.796,3331.297
1,1g,133mb,10m,39k,26,9m,7.641,3398.370
1,1g,133mb,10m,39k,76,200k,22.318,3398.989
1,1g,133mb,10m,39k,76,9m,22.158,3417.541
1,1g,133mb,10m,113k,26,200k,21.478,1173.237
1,1g,133mb,10m,113k,26,9m,20.612,1204.386
1,1g,133mb,10m,113k,76,200k,55.568,1203.318
1,1g,133mb,10m,113k,76,9m,56.617,1174.970
1,1g,133mb,1g,39k,26,200k,10.876,2386.516
1,1g,133mb,1g,39k,26,9m,10.064,2540.710
1,1g,133mb,1g,39k,76,200k,29.523,2498.051
1,1g,133mb,1g,39k,76,9m,29.531,2502.435
1,1g,133mb,1g,113k,26,200k,28.067,900.090
1,1g,133mb,1g,113k,26,9m,27.807,842.862
1,1g,133mb,1g,113k,76,200k,73.835,837.077
1,1g,133mb,1g,113k,76,9m,64.568,868.740
1,1g,378mb,10m,39k,26,200k,5.077,5118.506
1,1g,378mb,10m,39k,26,9m,4.863,5340.022
1,1g,378mb,10m,39k,76,200k,13.699,5540.679
1,1g,378mb,10m,39k,76,9m,13.819,5474.972
1,1g,378mb,10m,113k,26,200k,11.829,2089.398
1,1g,378mb,10m,113k,26,9m,12.122,2125.501
1,1g,378mb,10m,113k,76,200k,32.842,2080.060
1,1g,378mb,10m,113k,76,9m,34.216,2083.555
1,1g,378mb,1g,39k,26,200k,7.271,3572.441
1,1g,378mb,1g,39k,26,9m,7.194,3534.662
1,1g,378mb,1g,39k,76,200k,20.911,3633.220
1,1g,378mb,1g,39k,76,9m,21.166,3580.015
1,1g,378mb,1g,113k,26,200k,18.400,1351.192
1,1g,378mb,1g,113k,26,9m,18.001,1374.631
1,1g,378mb,1g,113k,76,200k,46.733,1381.910
1,1g,378mb,1g,113k,76,9m,47.438,1374.677
1,8g,133mb,10m,39k,26,200k,8.057,3223.105
1,8g,133mb,10m,39k,26,9m,7.596,3415.280
1,8g,133mb,10m,39k,76,200k,21.754,3485.222
1,8g,133mb,10m,39k,76,9m,21.747,3479.383
1,8g,133mb,10m,113k,26,200k,20.774,1181.553
1,8g,133mb,10m,113k,26,9m,21.106,1203.602
1,8g,133mb,10m,113k,76,200k,53.800,1179.302
1,8g,133mb,10m,113k,76,9m,54.399,1201.706
1,8g,133mb,1g,39k,26,200k,10.769,2413.310
1,8g,133mb,1g,39k,26,9m,10.180,2508.743
1,8g,133mb,1g,39k,76,200k,29.280,2567.248
1,8g,133mb,1g,39k,76,9m,31.120,2432.759
1,8g,133mb,1g,113k,26,200k,37.291,645.358
1,8g,133mb,1g,113k,26,9m,27.287,900.271
1,8g,133mb,1g,113k,76,200k,73.211,912.192
1,8g,133mb,1g,113k,76,9m,70.073,908.772
1,8g,378mb,10m,39k,26,200k,4.838,5372.032
1,8g,378mb,10m,39k,26,9m,4.512,5756.613
1,8g,378mb,10m,39k,76,200k,13.336,5696.402
1,8g,378mb,10m,39k,76,9m,13.253,5722.422
1,8g,378mb,10m,113k,26,200k,11.987,2067.676
1,8g,378mb,10m,113k,26,9m,11.886,2125.347
1,8g,378mb,10m,113k,76,200k,32.500,2090.378
1,8g,378mb,10m,113k,76,9m,32.419,2098.964
1,8g,378mb,1g,39k,26,200k,7.740,3326.123
1,8g,378mb,1g,39k,26,9m,7.159,3629.137
1,8g,378mb,1g,39k,76,200k,20.631,3661.042
1,8g,378mb,1g,39k,76,9m,23.004,3288.512
1,8g,378mb,1g,113k,26,200k,18.472,1339.295
1,8g,378mb,1g,113k,26,9m,18.544,1344.608
1,8g,378mb,1g,113k,76,200k,50.824,1326.914
1,8g,378mb,1g,113k,76,9m,52.032,1341.157
4,1g,133mb,10m,39k,26,200k,7.829,3319.848
4,1g,133mb,10m,39k,26,9m,7.616,3407.963
4,1g,133mb,10m,39k,76,200k,22.151,3421.501
4,1g,133mb,10m,39k,76,9m,21.707,3450.744
4,1g,133mb,10m,113k,26,200k,20.097,1197.470
4,1g,133mb,10m,113k,26,9m,21.052,1203.602
4,1g,133mb,10m,113k,76,200k,54.617,1178.504
4,1g,133mb,10m,113k,76,9m,51.823,1203.433
4,1g,133mb,1g,39k,26,200k,10.614,2449.166
4,1g,133mb,1g,39k,26,9m,10.970,2332.090
4,1g,133mb,1g,39k,76,200k,39.458,1889.890
4,1g,133mb,1g,39k,76,9m,29.493,2533.315
4,1g,133mb,1g,113k,26,200k,27.507,909.855
4,1g,133mb,1g,113k,26,9m,27.346,910.193
4,1g,133mb,1g,113k,76,200k,75.857,904.509
4,1g,133mb,1g,113k,76,9m,70.764,898.756
4,1g,378mb,10m,39k,26,200k,4.954,5246.287
